"Daily Weather Observations for Melbourne, Victoria for July 2023 - August 2024",Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-07-12,10.2,14.8,3.6,0.0,5.1,N,30,01:18,10.4,100,8,N,9,1015.4,14.6,65,1,SSW,2,1014.0
,2024-07-13,7.9,13.7,0.8,1.2,5.2,SSW,24,14:18,10.4,93,1,W,7,1017.3,12.6,73,6,SSW,11,1016.1
,2024-07-14,6.8,12.0,3.4,2.0,3.4,SSW,30,16:46,7.5,92,7,SW,9,1016.3,11.3,69,2,SW,11,1013.3
,2024-07-15,7.3,12.1,1.2,0.4,0.7,WSW,41,11:37,9.0,80,4,WNW,13,1007.8,10.3,80,8,W,15,1004.1
,2024-07-16,9.0,13.6,19.6,0.6,0.0,S,37,02:02,12.1,100,8,SSW,9,1005.8,13.0,88,8,SSW,9,1007.1
,2024-07-17,8.6,14.0,0.2,0.6,1.2,SSW,33,18:57,10.3,100,8,SW,4,1012.4,12.3,85,7,SW,13,1011.6
,2024-07-18,7.3,12.1,1.0,1.2,3.9,WSW,28,12:17,8.5,82,3,WSW,9,1017.1,11.0,63,6,SSW,6,1015.6
,2024-07-19,7.7,12.1,0,1.6,0.1,N,57,20:16,9.5,66,7,N,20,1010.5,11.2,67,8,N,28,1005.3
,2024-07-20,9.5,12.2,0,2.4,0.1,N,46,00:09,10.8,60,7,NW,20,997.5,11.7,85,7,W,15,1002.5
,2024-07-21,7.9,16.6,4.0,2.8,4.6,NW,31,14:44,10.0,76,5,N,11,1018.2,14.3,62,7,N,17,1017.6
,2024-07-22,9.9,17.1,0.6,0.8,5.1,NNW,41,12:19,12.3,81,3,N,17,1021.9,17.0,58,7,NNW,19,1021.2
,2024-07-23,11.1,17.7,0,2.8,7.1,NNW,50,15:19,12.7,57,7,N,17,1023.9,17.0,46,7,N,19,1020.9
,2024-07-24,11.0,15.8,0.2,4.3,1.1,N,56,15:45,11.6,56,7,N,19,1019.1,15.7,48,8,N,22,1013.8
,2024-07-25,11.5,13.7,0,3.4,1.9,N,54,02:09,12.7,64,8,N,15,1010.3,12.5,77,7,N,9,1009.1
,2024-07-26,7.7,14.5,3.2,1.6,8.7,NNW,54,15:14,9.8,74,1,N,19,1017.2,14.0,61,1,N,31,1015.9
,2024-07-27,9.7,11.8,0,3.0,1.7,W,52,17:48,10.2,74,7,N,19,1016.4,9.1,86,7,SW,6,1016.5
,2024-07-28,5.4,11.7,6.2,1.0,4.1,SSW,41,14:24,7.1,82,6,WSW,11,1024.0,11.2,57,7,SSW,13,1025.5
,2024-07-29,7.0,11.7,2.8,1.2,0.3,W,17,01:10,8.1,100,8,WSW,4,1031.6,11.4,93,7, ,Calm,1031.3
,2024-07-30,6.8,13.9,1.2,0.0,7.5,SSW,19,14:36,7.5,96,7,NE,11,1037.5,12.4,69,2,SSW,9,1035.9
,2024-07-31,3.5,10.2,0,1.0,5.2,NE,13,04:31,5.0,100,8,NNE,7,1037.8,9.2,78,1,N,9,1036.0
,2024-08-1,1.1,16.3,0.2,1.0,9.3,N,17,15:32,3.2,100,1,NNE,9,1035.4,16.0,45,1,N,9,1031.0
,2024-08-2,3.1,15.7,0,2.2,7.0,NNW,44,10:39,6.8,80,1,NNE,9,1030.2,14.7,47,7,N,20,1026.4
,2024-08-3,6.8,14.5,0,4.0,0.2,N,26,08:16,11.5,62,7,N,13,1028.3,13.5,57,7,S,7,1027.4
,2024-08-4,3.2,15.3,0,1.4,7.2,NNE,15,07:30,5.2,92,7,NNE,7,1029.8,15.1,45,7,WSW,4,1026.0
,2024-08-5,5.2,15.8,0,1.8,4.0,NNE,15,13:03,7.6,88,7,NNE,9,1024.8,15.1,48,4,SW,6,1021.9
,2024-08-6,6.7,17.5,0,0.8,9.5,N,41,12:24,10.5,77,4,N,13,1023.9,17.3,38,4,WSW,11,1020.9
,2024-08-7,8.2,17.9,0,3.6,8.1,N,35,15:53,10.8,74,7,N,13,1025.2,16.3,52,5,N,17,1023.7
,2024-08-8,9.6,14.0,0,2.4,1.2,N,50,10:38,11.9,62,7,N,24,1023.7,13.4,60,7,N,22,1020.5
,2024-08-9,10.6,18.1,0,2.4,8.1,N,26,00:41,12.5,71,1,N,9,1025.9,17.1,43,6,W,6,1024.8
,2024-08-10,7.5,17.4,0,2.8,7.1,SSW,20,14:44,8.5,87,7,NNE,7,1029.7,15.7,62,5,SSW,13,1028.4
,2024-08-11,5.9,19.8,0,1.4,9.9,NNE,19,13:16,8.7,86,1,N,9,1031.5,18.7,49,4,SW,7,1028.6
,2024-08-12,6.6,20.7,0,3.0,10.1,N,43,11:19,11.3,74,1,NNE,9,1030.0,20.2,42,7,N,22,1026.2
,2024-08-13,9.7,20.5,0,3.6,9.9,N,39,14:59,14.0,72,1,N,13,1026.4,20.0,54,3,N,20,1021.4
,2024-08-14,12.4,21.9,0,3.4,6.7,NNW,37,16:57,16.5,71,7,N,17,1019.6,21.6,51,2,NNE,15,1016.1
,2024-08-15,12.8,20.9,0,3.4,5.4,NNE,39,11:46,16.1,69,2,N,17,1017.8,19.4,55,7,NNE,17,1014.4
,2024-08-16,12.1,16.6,0,4.0,1.0,NNW,43,09:43,16.1,77,7,N,19,1009.5,16.1,65,7,NNW,15,1006.6
,2024-08-17,10.3,15.0,0.8,2.2,1.7,S,20,13:42,11.4,83,8,N,9,1006.3,14.6,60,7,SW,9,1007.4
,2024-08-18,10.7,15.4,1.2,0.8,2.9,SSW,22,15:03,12.8,84,7,SSE,2,1017.7,15.1,73,7,SSW,9,1018.1
,2024-08-19,6.2,18.6,0.2,2.6,8.9,N,33,13:43,8.0,100,7,NE,9,1023.7,17.8,58,1,N,19,1020.5
,2024-08-20,7.8,17.9,0.4,2.6,3.6,NNW,50,11:04,16.5,65,7,N,13,1016.3,15.5,73,7,NNE,17,1009.5
,2024-08-21,11.9,19.2,1.2,3.0,6.6,NW,30,11:10,14.9,67,3,NW,9,1013.0,18.0,51,5,NNW,15,1011.7
,2024-08-22,11.3,18.9,4.0,2.2,9.2,NNW,31,11:28,13.9,71,1,NNW,13,1017.6,18.3,37,4,NW,9,1016.8
,2024-08-23,10.8,18.9,0,2.6,1.9,N,48,22:34,13.8,71,7,N,17,1021.2,18.1,53,7,N,19,1016.4
,2024-08-24,13.8,21.8,4.2,4.4,10.3,N,63,00:39,17.1,63,1,NNW,13,1010.9,21.2,49,1,NNW,20,1009.7
,2024-08-25,12.0,23.5,0,4.6,3.8,WSW,61,18:21,14.6,71,7,NNE,9,1006.7,23.0,51,6,N,24,1001.5
,2024-08-26,12.8,18.6,11.6,5.4,5.4,NNW,31,03:20,14.6,65,7,W,11,1015.4,18.2,47,7,W,11,1014.9
,2024-08-27,12.4,20.2,0,4.6,1.3,NNW,63,16:00,14.7,67,7,NNE,17,1015.4,19.1,51,7,N,33,1006.5
,2024-08-28,14.0,18.6,0.2,6.6,7.9,NW,57,09:32,15.3,45,1,WNW,15,1004.9,17.6,34,4,NW,24,1004.8
